id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
19,鸿意星城,秦淮,360,28152元/平米,3室1厅1厨1卫,高楼层 (共10层),127.88㎡,复式,103.47㎡,板楼,南 北,砖混结构,毛坯,一梯三户,有,70年,2019-03-30,商品房,2010-02-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
20,东郊小镇第四街区,江宁,120,25636元/平米,2室2厅1厨1卫,中楼层 (共4层),46.81㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,一梯二十五户,无,70年,2019-06-03,商品房,2016-07-28,普通住宅,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片
21,四方新村七村,秦淮,180,27456元/平米,3室1厅1厨1卫,高楼层 (共7层),65.56㎡,平层,58.28㎡,板塔结合,南,钢混结构,精装,一梯两户,无,70年,2019-09-06,房改房,2016-06-18,普通住宅,满两年,非共有,"
                                有抵押 80万元 工商银行 客户偿还
                              ",已上传房本照片
22,申家巷,秦淮,198,34138元/平米,2室1厅1厨1卫,高楼层 (共9层),58㎡,平层,暂无数据,板楼,北,钢混结构,精装,两梯十六户,有,70年,2019-12-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
23,金基汇锦国际,建邺,383,61212元/平米,3室2厅1厨2卫,低楼层 (共12层),62.57㎡,跃层,48.87㎡,板塔结合,南 北,钢混结构,精装,两梯十六户,有,70年,2018-12-28,商品房,2013-06-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
24,威尼斯水城第九街区,浦口,195,22000元/平米,2室2厅1厨1卫,高楼层 (共10层),88.64㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2019-06-08,商品房,2012-10-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
25,恒大金碧天下湖光苑,溧水,90.5,9891元/平米,2室2厅1厨2卫,低楼层 (共11层),91.5㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2019-01-17,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
26,朗诗未来街区二期,浦口,178,24055元/平米,3室2厅1厨1卫,高楼层 (共18层),74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,70年,2019-09-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
27,翠屏国际金榕苑,江宁,450,27660元/平米,3室2厅1厨2卫,高楼层 (共12层),162.69㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,2018-01-06,商品房,2009-11-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
28,诚品城,栖霞,241,26342元/平米,3室2厅1厨1卫,高楼层 (共6层),91.49㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-09-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元 客户偿还
                              ",未上传房本照片
